run,save,frames,recordedFpsMedian,cadenceMedianMs,cadence8to9MsPercent,cadence16to17p5MsPercent,cpuMeanMs,gpuMeanMs,cpuP99Ms,cpuSingleSpikesPerSecond,cpuSpikeEventsPerSecond
Balanced 1,08,600,60.0,16.664199799834023,0.0,100.0,4.766,9.27,5.4,0.1,0.1
Balanced 1,11,1069,107.0,8.332950060093935,88.10861423220973,11.51685393258427,8.753,8.434,14.632,5.2,12.2
Balanced 1,09,960,96.0,8.33350013999734,84.46298227320125,6.360792492179353,6.116,8.294,10.341,8.8,15.0
Balanced 1,12,911,92.6,8.334549925166357,73.73626373626374,20.76923076923077,8.826,9.248,15.0,12.5,17.9
Balanced 1,10,894,90.0,8.33719984984782,65.95744680851064,33.93057110862262,7.39,9.244,11.7,25.8,25.8
Balanced 1,13,584,59.5,16.664400290210324,0.0,97.08404802744425,13.41,12.322,26.417,0.7,2.4
Performance,08,599,60.0,16.664100075104216,0.0,99.83277591973244,5.291,9.642,10.734,0.0,0.2
Performance,11,989,99.0,8.333250095120093,83.90688259109312,10.82995951417004,8.603,8.721,15.012,6.4,14.7
Performance,09,883,88.8,8.334800359989458,78.91156462585035,6.462585034013605,5.849,8.601,10.0,16.2,18.2
Performance,12,876,88.0,8.335100010299357,74.05714285714286,14.971428571428572,8.412,9.198,14.7,9.9,15.2
Performance,10,883,88.8,8.336149925071368,68.25396825396825,27.551020408163264,7.066,9.261,11.3,24.2,24.8
Performance,13,556,56.5,16.665000090142712,0.0,91.71171171171171,17.565,13.288,29.145,0.2,3.8
Legacy,08,599,60.0,16.66439991504376,0.0,99.83277591973244,5.477,9.652,13.022,0.1,0.6
Legacy,11,966,97.0,8.333299859714316,83.73056994818653,8.290155440414507,8.687,8.758,15.3,7.7,14.0
Legacy,09,878,88.0,8.334300399837957,79.70353477765109,4.104903078677309,5.804,8.576,9.7,15.6,17.9
Legacy,12,870,87.7,8.33480013989174,75.8342922899885,10.356731875719218,8.467,9.25,14.2,10.5,14.4
Legacy,10,910,91.0,8.336099929692864,69.1969196919692,29.92299229922992,7.184,9.205,11.491,24.4,25.2
Legacy,13,588,60.0,16.664399940054864,0.0,97.78534923339012,13.199,12.686,26.7,0.7,2.2
Balanced 2 uncertain,08,600,60.0,16.664400269291946,0.0,100.0,5.37,9.799,6.404,0.1,0.2
Balanced 2 uncertain,11,1028,103.0,8.333199950357084,89.09444985394353,5.063291139240507,8.668,8.423,13.7,5.8,11.0
Balanced 2 uncertain,09,1014,101.0,8.333299820151296,87.46298124383021,6.614017769002961,6.004,8.094,10.2,2.0,12.8
Balanced 2 uncertain,12,974,98.0,8.3339999700911,81.80883864337102,13.1551901336074,8.676,8.971,15.554,10.5,17.0
Balanced 2 uncertain,10,953,95.0,8.335200095189066,74.0546218487395,25.945378151260503,6.918,8.761,11.3,21.1,23.7
Balanced 2 uncertain,13,553,56.0,16.66500018518491,0.0,91.30434782608695,18.764,13.093,28.9,0.2,4.0
Balanced 3,08,600,60.0,16.66430018030951,0.0,100.0,5.78,9.814,8.417,0.0,0.1
Balanced 3,11,1060,106.0,8.332800160133047,87.4409820585458,11.898016997167138,8.778,8.195,16.0,6.0,12.8
Balanced 3,09,1049,105.0,8.333100069648935,89.2175572519084,7.156488549618321,6.0,7.95,10.252,0.7,11.7
Balanced 3,12,963,98.0,8.334000110153283,79.002079002079,17.56756756756757,8.925,8.868,15.638,7.6,16.2
Balanced 3,10,980,98.0,8.333800029504346,77.52808988764045,22.471910112359552,6.433,8.361,10.8,14.6,21.4
Balanced 3,13,541,54.0,16.665399700286798,0.0,88.88888888888889,19.769,13.421,29.86,0.5,6.0
Balanced 4,08,600,60.0,16.66470001964626,0.0,100.0,5.757,9.857,11.402,0.0,0.2
Balanced 4,11,1118,112.0,8.332700140272209,93.64368845120859,5.371530886302597,8.782,8.027,15.732,3.6,8.7
Balanced 4,09,1030,103.0,8.332900049936143,89.21282798833819,5.053449951409135,5.937,7.965,10.171,0.7,11.2
